gear_id,substrate_id,feature_id,energy_id,s,r
GC1,S1,B02,HIGH,2,2
GC1,S1,B02,LOW,2,2
GC1,S1,B06,LOW,2,2
GC1,S1,B08,HIGH,1,1
GC1,S1,B08,LOW,1,1
GC1,S1,B10,HIGH,1,3
GC1,S1,B10,LOW,1,3
GC1,S1,B13,HIGH,1,0
GC1,S1,B13,LOW,1,0
GC1,S1,G02,HIGH,2,0
GC1,S1,G02,LOW,2,0
GC1,S1,G04,HIGH,2,0
GC1,S1,G04,LOW,2,0
GC1,S1,G13,HIGH,2,0
GC1,S1,G13,LOW,2,0
GC1,S2,B02,HIGH,2,2
GC1,S2,B02,LOW,2,2
GC1,S2,B03,HIGH,2,1
GC1,S2,B03,LOW,2,1
GC1,S2,B06,LOW,2,2
GC1,S2,B08,HIGH,1,1
GC1,S2,B08,LOW,1,1
GC1,S2,B10,HIGH,1,3
GC1,S2,B10,LOW,1,3
GC1,S2,B11,HIGH,2,2
GC1,S2,B11,LOW,2,2
GC1,S2,B12,HIGH,2,2
GC1,S2,B12,LOW,2,2
GC1,S2,B13,HIGH,1,0
GC1,S2,B13,LOW,1,0
GC1,S2,B15,HIGH,1,2
GC1,S2,B15,LOW,1,2
GC1,S2,G01,HIGH,2,0
GC1,S2,G02,HIGH,2,0
GC1,S2,G02,LOW,2,0
GC1,S2,G04,HIGH,2,0
GC1,S2,G04,LOW,2,0
GC1,S2,G13,HIGH,2,0
GC1,S2,G13,LOW,2,0
GC1,S2,G14,HIGH,1,1
GC1,S2,G14,LOW,1,2
GC1,S3,B01,HIGH,2,2
GC1,S3,B01,LOW,2,2
GC1,S3,B02,HIGH,2,2
GC1,S3,B02,LOW,2,2
GC1,S3,B03,HIGH,2,1
GC1,S3,B03,LOW,2,1
GC1,S3,B04,HIGH,1,1
GC1,S3,B04,LOW,1,1
GC1,S3,B08,HIGH,1,1
GC1,S3,B08,LOW,1,1
GC1,S3,B09,HIGH,1,1
GC1,S3,B10,HIGH,2,3
GC1,S3,B10,LOW,2,3
GC1,S3,B11,HIGH,2,2
GC1,S3,B11,LOW,2,2
GC1,S3,B12,HIGH,2,2
GC1,S3,B12,LOW,2,2
GC1,S3,B14,HIGH,2,1
GC1,S3,B14,LOW,2,1
GC1,S3,B15,HIGH,1,2
GC1,S3,B15,LOW,1,2
GC1,S3,B16,HIGH,2,2
GC1,S3,B16,LOW,2,2
GC1,S3,G10,HIGH,1,0
GC1,S3,G11,HIGH,1,0
GC1,S3,G11,LOW,1,2
GC1,S3,G14,HIGH,1,1
GC1,S3,G14,LOW,1,2
GC1,S4,B01,HIGH,2,2
GC1,S4,B01,LOW,2,2
GC1,S4,B03,HIGH,2,1
GC1,S4,B03,LOW,2,1
GC1,S4,B04,HIGH,1,1
GC1,S4,B04,LOW,1,1
GC1,S4,B08,HIGH,1,1
GC1,S4,B08,LOW,1,1
GC1,S4,B09,HIGH,1,1
GC1,S4,B10,HIGH,2,3
